Tupi,Tradução,Citação
so'ombo'isara,"retalhador de carne, açougueiro","VLB, II, 28"
Aîemĩngatu...,Escondo-me bem.,"Anch., Teatro, 32"
"Omarãmonhangype, oîoendyne?","Brigarão, cuspirão um no outro?","Anch., Doutr. Cristã, I, 228"
Eîar-y bé amõ.,Toma mais outro.,"VLB, II, 60"
Oîme'engîeby sepypûera morubixabetá... supé...,Devolveu seu pagamento aos príncipes.,"Ar., Cat., 57v"
Ereîeamĩpe nde resé abá rekó riré nde memby-potare'ymamo?,"Espremeste-te após alguém fazer sexo contigo, não querendo filhos?","Ar., Cat., 1686, 235"
Xe membykambu.,Meu filho que mama.,"VLB, I, 86"
I maranirũ abé Bastião u'uborûera.,"Seu companheiro de guerras também é Bastião, o flechado.","Anch., Teatro, 18"
[adj.,"ybykûab (r, s)] - produtivo, de bom rendimento (p.ex., terra)","VLB, I, 144"
Aîmoapapub.,Convenço-o.,"VLB, II, 43"
...gûaîbĩ-marã...,...velha maldosa...,"Anch., Teatro, 46"
...i aŷpy atyká-tykábo...,sua cerviz ficando a esmurrar...,"Ar., Cat., 56v"
apé-'yba,pau do casco (da canoa),"VLB, II, 7"
Asá-mongy.,Untei as penas nele.,"VLB, I, 112"
"Peîori pitanga gûabo, ...kunumĩ mokona mbá...","Vinde, para comer a criança, engolindo completamente o menino.","Anch., Poemas, 166"
Xe rybobõ.,Eu sou trepador.,"VLB, II, 136"
Xe rendy-rendy.,Eu fico salivando.,"VLB, I, 85"
I te i té xe robá.,Está muito desfigurado meu rosto.,"VLB, I, 99"
'y-ape'ara rupi,"à tona d'água, na superfície da água","VLB, I, 50"
O îoaîuri aîmoín.,Prendi-os um ao pescoço do outro.,"VLB, II, 85"
Mosangape ereîpuru ture'ymagûama ri?,Usaste feitiço para que não viessem?,"Anch., Teatro, 12"
Xe pe'a umẽ îepé.,Não me desterres tu.,"Anch., Poemas, 102"
Asapûapin.,Aguço-a.,"VLB, I, 27"
Aîmondeb o aîurybo.,Meto-o pelo pescoço.,"Anch., Arte, 43"
Atupá-rung abati.,Estabeleci uma plantação de milho.,"VLB, II, 81"
pindá-aŷpypûasaba,"estorvo do anzol, isto é, corda com que se reata este","VLB, I, 129"
Eîaso'îabok nde karamemûã t'asepîak nde ma'e.,Destampa tua caixa para que eu veja tuas coisas.,"Léry, Histoire, 346"
Abá supé sekokatusagûama mombe'u.,Contar aos homens a futura felicidade deles.,"Ar., Cat., 18v"
Oîaby bépe abá Tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?,Transgride também alguém a palavra de Deus não mandando comungar a seu filho que é comungante antigo?,"Ar., Cat., 76v"
Nde angaturama n'opyki.,Tua bondade não cessa.,"Valente, Cantigas, V, in Ar., Cat., 1618"
A'epe ereîmombe'u a'e resé nde mondá?,E confessaste que tu as roubaste?,"Anch., Teatro, 178, 2006"
Xe îara Îesu sosang poresé.,Meu senhor Jesus sofre pela gente.,"Anch., Poemas, 122"
"Î aysó, nipó, îasy...","É formosa, certamente, a lua.","Anch., Poemas, 142"
"... E'i mo'ema monhanga, mosanga ra'ã-ra'anga...","Mostram-se a urdir mentiras, ficando a provar poções.","Anch., Teatro, 36"
okena potãîa,aldrava da porta,"VLB, I, 30"
"Eresaûsubarype i mba'easyreme, satá-á...","Tu te compadeceste deles quando eles estavam doentes, tirando-lhes fogo?","Anch., Doutr. Cristã, II, 86"
Ndaroîaî mamõ xe sóû.,Nem por isso eu vou para longe.,"Anch., Teatro, 50"
N'asé reroki bépe amõ abá abaré pyri?,Não nos batizam também outras pessoas junto do padre?,"Ar., Cat., 82"
...N'i papasabi.,Não há modo de contá-los.,"Ar., Cat., 38"
Xe moapysy-katu.,Deleita-me muito.,"VLB, I, 27; 93"
Xe kanugûá.,Eu sou resplandecente.,"VLB, II, 103"
sobábo,à vista dele,"VLB, II, 67"
"Gûemimbo'e pyri o karûápe, miapé o pópe gûemiîara i moîebyû gûetéramo.","Ao comer junto dos seus discípulos, o pão que tomou em suas mãos devolveu-o como seu corpo.","Ar., Cat., 5"
Îori anhanga mondyîa...,Vem para espantar o diabo.,"Anch., Poemas, 132"
Arurusu.,Trago muitos.,"Anch., Arte, 13v"
Nama'eruã oîmonhang asé 'angamo...,Do nada fez nossa alma.,"Ar., Cat., 25"
Xe py-bang. - Eu tenho os pés tortos. Xe resá-bang.,Eu tenho olhos tortos.,"VLB, II, 133"
itaoba i apenhugûã-nhugûanyba'e,couraça com lâminas,"VLB, I, 85"
"T'îanhe'engá-mirĩ, ranhẽ, 'ara momorãngatûabo...","Cantemos um pouquinho, primeiro, para festejar bem o dia.","Anch., Teatro, 56"
Oré remi'u 'ara îabi'õndûara eîme'eng kori orébe.,Nossa comida de cada dia dá hoje para nós.,"Ar., Cat., 13v"
Ikendûara n'ikó.,O que é daqui é este.,"VLB, II, 74"
inimbó-'yba,"armação de fios, roca de fiar","VLB, II, 106"
Emonã ipó sekóû re'a.,Deve certamente ter agido assim.,"Anch., Doutr. Cristã, II, 100"
"Ereîukaípe kunhã amõ, sesé nde ara'apy'iramo?","Forçaste alguma mulher, sendo tu ladino com ela?","Anch., Doutr. Cristã, II, 90"
"...Nd'e'i te'e oîoepîaka'upa, o karukasyramo.","Por isso mesmo, tendo saudades um do outro, ficam tristes.","Ar., Cat., 156"
Marã e'ipe og uba supé o îekyî'îanondé?,Como disse a seu pai antes de morrer?,"Ar., Cat., 63v"
Oîaobok serã gûá...?,Por acaso arrancaram sua roupa?,"Ar., Cat., 85, 1686"
I rambûer xe só.,Não deu certo minha ida.,"Anch., Arte, 34"
Xe kyragûasu.,Eu sou muito gordo.,"VLB, I, 149"
Abur.,Inchei.,"VLB, II, 11"
sye'yma,"o sem mãe, o órfão de mãe","VLB, II, 59"
N'asé ruba ruã-tepe asé reté oîmonhang?,Mas não foi nosso pai que fez nosso corpo?,"Ar., Cat., 25"
Catorze asé remierobîarama...,Catorze são aquelas coisas em que creremos.,"Ar., Cat., 15v"
...andyragûasu-bebé...,morcegão voador,"Anch., Teatro, 26"
...I mombe'ukatupyramo ereîkó kunhã suí.,Bendita és tu entre as mulheres.,"Anch., Doutr. Cristã, I, 139"
Pe ma'enduar.,Vós lembrais.,"Anch., Arte, 20v"
Asenõî apŷabetá...,Chamo os homens.,"Valente, Cantigas, VI, in Ar., Cat., 1618"
karukĩneme,ao entardecer,"VLB, I, 36"
amynyîu-'yba,"pé de algodão, algodoeiro","VLB, I, 31"
Xe remimotarybo asó.,Vou por minha vontade.,"VLB, II, 147"
T'îasó maranatãûãme o îoupé oîobaúpa?,"Havemos de ir à dura guerra, cara a cara uns contra os outros?","Anch., Poemas, 112"
Agûasem.,Cheguei (por terra).,"VLB, I, 72"
apyri,"na ponta, na extremidade","Anch., Arte, 41"
Iîá muru senonhana!,Ainda bem que o faz correr consigo!,"Anch., Teatro, 164"
Onhemoarûabo mba'eîare'yma îabé...,Fazendo-se humilde como um pobre.,"Ar., Cat., 9v"
Agûe'en.,Vomitei.,"VLB, II, 147"
Aîmonhangĩ nhẽ.,"Fi-lo por fazer (sem algum fim, sem mais, porque quis).","Anch., Arte, 54"
Abá nhe'engûerape aîpó?,Palavras de quem são essas?,"Ar., Cat., 35"
Mbypeteĩ ipó ahẽ rekóû.,Pertinho certamente ele está.,"VLB, II, 74"
...Abá re'õagûera resé og orybamo...,Alegrando-se com a morte de alguém.,"Ar., Cat., 70v"
Ereîkópe kunhã amõ resé... nde sugûaraîyramo?,Tiveste relações sexuais com alguma mulher como tua prostituta?,"Anch., Doutr. Cristã, II, 91"
"Er, sarigûeîa é!","Irra, gambá!","Anch., Teatro, 42"
Eîpe'a îurupari kó 'ara suí...,Afasta o jurupari deste mundo...,"Valente, Cantigas, III, in Ar., Cat., 1618"
Xe ytarõ pirá.,Farta-me o peixe.,"VLB, I, 135"
Xe moory-katu îepé...,Tu me alegras muito.,"Anch., Teatro, 14"
...Ingapema bé peru!,Trazei também a ingapema!,"Anch., Teatro, 64"
aîubykara,enforcador,"VLB, I, 31"
Kotype aîub.,Estou em cilada.,"VLB, I, 74"
Tynysẽ memẽ ygasaba.,Estão sempre cheias as igaçabas.,"Anch., Teatro, 34"
Nd'oromombe'uî xóne.,Não te denunciarei.,"Anch., Teatro, 32"
"Ebokûé nde membyra, kunhã gûé!...","Eis aí teu filho, ó mulher!","Ar., Cat., 63"
...Xe suí i gûabo pá.,De mim comendo-as todas.,"Anch., Poemas, 150"
ebanõîa suí,"daí, desse lugar (em que estás)","VLB, I, 93"
Asó me'ĩmo mã!,"Ah, quem me dera eu tivesse ido!","Anch., Arte, 24v; Fig., Arte, 142"
Nd'oîkuabipe ta'a kagûaramo xe rekó?,Não sabe o senhor que eu sou um beberrão?,"Anch., Teatro, 134"
Aîpytasã-mondok.,Cortei seus nervos.,"VLB, II, 7"
Aîkugûab amõ.,Novamente o soube.,"VLB, II, 51"
I ting pirá ixébo.,O peixe é-me enjoativo.,"VLB, I, 115"
"Oré 'anga t'oîosu, sekopoxy mosasãîa.","Que nossa alma ele visite, dispersando os vícios dela.","Anch., Teatro, 118"
...I xupé o apixara amõ me'enga...,Dando para ele alguma semelhante a si.,"Ar., Cat., 72"
"Opá ybaka ereîmopó, paranã, yby abé.","Todo o céu preenches, o mar e a terra firme também.","Anch., Poemas, 128"
paranãngûá,enseada ou baía de mar,"VLB, I, 50"
"Xe resy Lorẽ-ka'ẽ, xe morubixaba biã.","Assa-me o Lourenço tostado, embora eu seja um rei.","Anch., Teatro, 90"
Eva... onhemomotareté 'ybá-poranga resé... iî ykyébo...,"Eva atraiu-se muito pelo belo fruto, colhendo-o.","Anch., Poemas, 178"
Aîmoendyîab.,Tirei faísca dele.,"VLB, I, 137"
sendybaá-îuba'e,o que tem barba ruiva,"VLB, II, 109"
Aybysosok.,Fiz taipa de pilão.,"VLB, II, 123"
T'o'u îandé roŷpyrûera.,Que os comam os que ficaram em nossas casas.,"Anch., Teatro, 64"
...Mo'ema kó omopu'ã...,Mentiras levantam.,"Anch., Teatro, 148"
Asó iã.,Eis que vou (não se podendo traduzir por eis que fui).,"Anch., Arte, 21v"
Nde poropotare'yma t'oîakatu xe resé.,Tua pureza seja igual em mim.,"Anch., Poemas, 132"
Kó pytuna ri sy-ari.,Nesta noite tomou início.,"Anch., Poesias, 344-345"
A'uba nhote i por re'a.,Há de ser coisa insignificante somente.,"Ar., Cat., 163v"
"Îandé repenhã-penhã, îandé momoxy mo'anga.","Fica-nos atacando, pensando em perverter-nos.","Anch., Poemas, 188"
sepîaka,a vista dele,"Anch., Arte, 27"
... Xe rarõana opoapypyk îandune.,"Meus guardiães opor-se-ão a vós, como de costume.","Anch., Teatro, 164"
xe atukupé,minhas costas,"Léry, Histoire, 365"
Nd'ere'uî xó kori xe remindu'une!,Não beberás hoje o que eu mastigo.,"Anch., Teatro, 10"
Ere'upe so'o... u'i rerekóbo nhẽpe...?,"Comeste carne de caça, tendo farinha?","Ar., Cat., 111"
A'epe marã apŷabetéramo sekóû îandé îabé?,E de que maneira é homem verdadeiro como nós?,"Ar., Cat., 22v"
I nhyrõ ipó kori ixébene...,"Perdoará hoje, certamente, a mim.","Ar., Cat., 92v"
Osem okarype oîase'oasykatûabo.,Saiu para o pátio chorando muito dolorosamente.,"Ar., Cat., 57v"
Sepîaka nhõ miapé berame'ĩ.,"Vendo-o, somente, é como pão.","Ar., Cat., 84v"
"Nde remimimbûera, anhẽ, umãmepe nde mondá?","O que tu escondeste, na verdade, onde tu roubaste?","Anch., Teatro, 44"
I xupépe asé îeruréû o 'anga rekorama resé?,A ele a gente pede pelo futuro viver de sua alma?,"Ar., Cat., 93v"
Eîmonhangukar 'ygûara...,Faze transformar os moradores do rio...,"Anch., Poemas, 158"
N'i gûabi.,Não tem modo de o comer.,"Anch., Arte, 48"
...Tekoaíba oromombó.,O vício atiramos fora.,"Anch., Poemas, 84"
I pe'ybĩ nakó tapiti kûara.,"Está limpa, como se vê, a cova da lebre.","VLB, II, 114"
Abá angaîpá-nhemima... oîmombe'uba'e.,O que conta os pecados escondidos de alguém.,"Anch., Diál. da Fé, 215"
Nd'e'i te'e... i xupé o akangaó-'okara Tupã nhe'enga abŷabo...,Por isso mesmo os que tiram seu chapéu para eles transgridem a palavra de Deus.,"Ar., Cat., 179"
tó eẽ,"ah, sim! ah, já entendi!","VLB, I, 17"
nhau'umoka,casa de barro,"Anch., Arte, 2v"
Opá abá sóû.,Todos os homens foram.,"Anch., Arte, 54v"
Ereporupe?,Comeste gente?,"Ar., Cat., 102v"
Paîé-a'uba supé... amõ abá oîxuban-ukaryba'e...,O que manda um falso pajé sugar outra pessoa.,"Ar., Cat., 66v"
Sekobîaramo aîme'eng.,Dei-o em troca.,"VLB, I, 90"
"Moraseîa é i katu, îegûaka, îemopyranga...","A dança é que é boa, enfeitar-se, pintar-se de vermelho.","Anch., Teatro, 6"
mbyru'apûera,calos já duros,"VLB, I, 64"
Xe reryîara tupãoka eîmonhang.,Faze uma igreja que tenha meu nome.,"Ar., Cat., 7"
"A'epe cristãos Tupã nhe'enga abŷara, marã?","E os cristãos transgressores da palavra de Deus, que lhes sucede?","Ar., Cat., 26v"
...mo'ema mopu'ambara...,levantadoras de mentiras,"Anch., Teatro, 156"
...Sesé nde nhemomotaragûera ranhẽ t'ereîmombe'u...,Hás de confessar primeiro tua atração por eles.,"Ar., Cat., 103v"
A'e ipó asetobapé-pyténe...,"A ele, certamente, beijarei suas faces.","Ar., Cat., 54"
"...Ogûaûsukatuagûera repyramo, Tupã ipó serã serasóû seté resebé ybakype...","Como recompensa de seu muito amor a Ele, Deus levou-o certamente, com seu corpo, para o céu.","Ar., Cat., 139"
...E'i mo'ema monhanga...,Mostram-se a urdir mentiras.,"Anch., Teatro, 36"
...iké seru-potá nhẽ,querendo trazê-los aqui,"Anch., Teatro, 12"
"Oîkobé îemombe'u, mosanga mûeîrabyîara.","Existe a confissão, remédio portador de cura.","Anch., Teatro, 38"
Onhemombe'upe abá gûarinĩ-namo o só îanondé?,Confessa-se alguém antes de ir à guerra?,"Anch., Doutr. Cristã, I, 212"
Ereîeapysaká-katupe nde nhemombe'urama resé...?,Deste atenção a tua confissão?,"Anch., Doutr. Cristã, II, 78"
"Eporeaûsubok xe 'anga, t'i pyatã nde resé.",Arranca a miséria de minha alma para que esteja firme em ti.,"Valente, Cantigas, I, in Ar., Cat., 1618"
Marãpe i boîá rekóû emonã o îara rerekó repîaka?,"Como seus discípulos procederam, vendo tratar assim a seu senhor?","Ar., Cat., 54v"
Tupã syrama ri i monhangymbyra...,Foi ela feita para ser a futura mãe de Deus.,"Anch., Poemas, 88"
...Peîpûá muru!,Amarrai os malditos!,"Anch., Teatro, 42"
"Aûîebeté, rõ! T'oú.","Muito bem, então! Que venha.","Anch., Teatro, 132"
Nd'ereîkuabipe Tupã îandé rubypy oîepé nhõ sekoaba suí i mosemagûera...?,Não sabes que Deus expulsou nosso pai primeiro por causa de um só ato seu?,"Ar., Cat., 112"
Xe pusu'umukaî.,Eu tenho azia.,"VLB, I, 49"
"...O membyrara kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype...","Após passar seu parto, Santa Maria levou seu filho Jesus ao templo.","Ar., Cat., 3v"
Abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e.,O homem que come objeto de furto ou que o leva para sua casa.,"Ar., Cat., 72v"
Kó oroîkó oronhemborypa...,Aqui estamos para nos alegrar.,"Anch., Teatro, 118"
...Abá rekopoxy mosãîa...,Tornando notórios os vícios das pessoas...,"Ar., Cat., 241"
Aîkó-angaîpab.,Ajo velhacamente.,"VLB, II, 143"
...Tekokatu reroîebysabamo.,Como modo de fazer voltar em si a virtude.,"Ar., Cat., 84v"
Abáp'amẽ asé osenõî oîkotebẽmo?,"Quem, necessariamente, a gente chama, estando aflita?","Ar., Cat., 23"
apytaîyka,"mingau grosso, massa (que se punha sobre queijo, manjar branco, etc.)","VLB, II, 146"
setapokãba'e,"o que é raro, poucas vezes visto ou que se não acha a cada passo","VLB, II, 96"
O puru'a îuká potá mosanga o'uba'e.,"A que ingere uma poção, querendo matar seu feto.","Anch., Diál. da Fé, 209"
...I 'apira mondoki.,Cortaram seu prepúcio.,"Ar., Cat., 3"
temo'ema,mentira.),"Anch., Arte, 13v"
Xe raîu-raîu.,Eu sou fibroso.,"VLB, II, 49"
"Sarûab amõme asé posangygûaba, mara'ara moîerobu-bé-uká...","Não faz efeito, às vezes, nosso remédio, fazendo avivar mais a doença.","Anch., Doutr. Cristã, II, 78"
Aîmokang.,Enxuguei-o.,"VLB, I, 120"
Xe marãmotar.,Eu sou furioso.,"VLB, I, 145"
"Aûnhenhẽ o apixarĩ... îepyki, ...i kurapa...","Imediatamente, de seu próximo eles se vingam, chacoteando-os.","Anch., Teatro, 130"
Ereîmombe'upe abá rera... abaré supé?,Mencionaste o nome de alguém para o padre?,"Ar., Cat., 108"
"Xe rekoekyî îepé, a'epûera aîmoasy..., i mboepykatûabo bé.","Embora me evoques os atos, daqueles arrependi-me, bem resgatando-os também.","Anch., Teatro, 168"
N'i apori oré sumarã îepinhẽ oré ra'anga.,Não desiste nosso inimigo de sempre nos tentar.,"Anch., Poemas, 174"
Oîme'eng-y bépe Tupã ikó 'ara pupé mba'e amõ i angaturamba'e supéno?,Dá também Deus neste mundo algumas coisas aos que são bons?,"Ar., Cat., 50"
...T'oîporeaûsuberekó îudeus...,Que se compadeçam dele os judeus.,"Ar., Cat., 59v"
Xe moaîu-marangatu... aîpó tekó-pysasu.,Importuna-me bem aquela lei nova.,"Anch., Teatro, 4"
Esokendabok nde roka.,Abre a porta de tua casa.,"VLB, I, 18"
seîkûaratĩba'e,o que tem ponta em forma de nádegas,"Léry, Histoire, 346"
Oposẽ-posẽ pabenhẽ sesé...,Ficaram todos gritando por causa disso...,"Ar., Cat., 60v"
Aîá pá îekuakuba...,Fiz todos os jejuns.,"Anch., Teatro, 172"
...Anhanga mosykyîaba...,É um modo de assustar o diabo,"Ar., Cat., 352, 1686"
Arokûab.,Apresentei-o.,"VLB, I, 39"
"Îori, esenõî angá kûeîbo nde remimoaûîé.","Vem, nomeia os que tu derrotas por aí.","Anch., Teatro, 12"
Aîkó-me'eng Pedro.,Dou roça a Pedro.,"Anch., Arte, 33"
pirá-nhandy,óleo de peixe,"VLB, I, 49"
Ereroker-etápe îoamotare'yma?,Dormiste muitas vezes com ódio?,"Ar., Cat., 101v"
Tupã resé marã o ekó o îoupé moîa'oîa'okaba...,A partilha entre si de suas obras por Deus.,"Ar., Cat., 179"
"Anga Îandé Îara... oîmoabaíb, morosuí i mondóbo.","Isso Nosso Senhor impede, repelindo-o das pessoas.","Ar., Cat., 89"
okambûera,"casa que seria, o que seria casa","Anch., Arte, 34"
Xe py-mongaraû ybyrá.,Um pau me desconjuntou o pé.,"VLB, I, 97"
Aîpukuîurar.,Lacei a perna dele.,"VLB, I, 41"
Xe rapîakatu abá.,Obedecem-me bem os índios.,"Anch., Teatro, 134"
T'e'i osóbo.,Que vá. (com ênfase),"Anch., Arte, 56"
Eîmondeb itangapema surupe.,Põe a espada na bainha dela.,"Ar., Cat., 54v"
Xe reburusu nhote.,Eu sou médio.,"VLB, II, 34"
N'asaûsu benhẽî xûé Anhangane...,Não mais amarei o diabo.,"Ar., Cat., 86"
okybaté,"casa assobradada (lit., casa alta)","VLB, II, 119"
Iî aŷpy rupi eîasy'ab.,"Corta-o pela sua base (isto é, cerce).","VLB, II, 100"
Endé é aîpó eré...,Tu mesmo dizes isso.,"Ar., Cat., 56"
akangapixa'ĩ,"cabeça “enrugada” (isto é, cabeça com cabelo PIXAIM, ou seja, de pessoa negra, carapinha)","VLB, I, 85"
Oré tupãoketá...,Nós temos muitas igrejas.,"Anch., Poemas, 114"
'ara îabi'õ,a cada dia,"VLB, I, 62"
...Kó taba monema moropotara pupé.,Fazer feder esta aldeia com o desejo sensual.,"Anch., Teatro, 138"
"Orébe t'oré mondyki, nde irũmo t'oroîkobé.",Que ela nos destrua para que vivamos contigo.,"Anch., Poemas, 124"
Aîypymoín.,Comecei-o.,"VLB, I, 77"
Amanõmanõ.,Padeci acidentes.,"VLB, I, 20"
Nd'e'i-angáî.,Ainda é muito cedo para isso.,"VLB, I, 69"
seteba'e,"o que tem corpo, o que é corpóreo","VLB, I, 82"
"Quarta-feira tanimbu-karaíba rasápe, îekuakupabusu Quaresma 'îaba nheypyrungi.","Ao passar a quarta-feira das cinzas sagradas, o grande jejum chamado Quaresma começa.","Ar., Cat., 122"
Asemberung.,Bordei-o.,"VLB, I, 58"
ybytu nde rasapápe,ao te trespassar o vento,"Anch., Poemas, 130"
mbo'ypyranga,"contas vermelhas, contas de coral","VLB, I, 81"
takûá-kysé,faca de taquara,"VLB, I, 133"
Nde marangatu meémo...,Se tivesses sido bom...,"Anch., Arte, 25v"
Mosangape ereîpuru...?,Usaste feitiço?,"Anch., Teatro, 12"
Nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?,Mas não porá a gente a mão na boca para desgrudá-la?,"Anch., Doutr. Cristã, I, 217"
Eresó nhẽ peũî.,Vais definitivamente.,"VLB, I, 102"
Mba'e-poxy koty onhe'engaíbamo...,Dizendo palavras más acerca de coisas nojentas.,"Anch., Diál. da Fé, 211"
Aîkugûab.,Agradeci-o.,"VLB, I, 23"
Kó taba pupé aîkó. - Moro nesta aldeia. Aîkó iké xe roka pupé. - Moro aqui em minha casa. Aîkó Pero irũnamo.,Moro com Pedro.,"VLB, II, 41"
Ta pesykyîé ianga suí...,Que tenhais medo disso.,"Ar., Cat., 165v"
N'i tyb-angáî setãmbûera. Opá... akûeîme n'i poretáî.,"Não existem mais absolutamente suas antigas terras. Todas, há tempos, não contêm muita coisa.","Anch., Teatro, 52"
Oîa'o-îa'ope o mena emonã sekó reséne?,Ficará injuriando seu marido por ele assim proceder?,"Anch., Doutr. Cristã, I, 228"
"Eîmo'ẽ nde resa'y, nde 'anga i momara'aragûera rapirõmo.","Derrama tuas lágrimas, pranteando a vergonha de tua alma.","Anch., Doutr. Cristã, II, 112"
